Code produit Fournisseur;EAN;Désignation du produit (NOM COMMERCIAL); Désignation Latine; Libellé Bon de livraison; Descriptif du produit; Durée garantie; Catégorie Arborescence Internet;Slogan;Qualité livrée;Couleur;Marque;Nombre de pièces par paquet;Hauteur adulte;Les plus du produit (1);Les plus du produit (2);Les plus du produit (3);Image_principale;Image secondaire 1;Image secondaire 2;Image secondaire 3;Image secondaire 4;Image secondaire 5;Vidéo Lien youtube;Fiche PDF;Période de plantation;Période de floraison;Période de semis;Période de récolte;Période de livraison;Type de sol;Exposition;Type utilisation;Type de Livraison
7284;;Delosperma cooperi;;Delosperma cooperi C2-3l;Cette vivace est intéressante pour sa floraison généreuse durant tout l'été, elle est  de couleur rose violacée. Les fleurs ont la particularité de cacher le feuillage vert dont les tiges sont molles, il s'agit d'une plante grasse. Le Delosperma à la silhouette tapissante, rampante fait 10 à 15 cm de haut et s'étend sur 60 cm. Il est également intéressant pour son feuillage qui  résiste à la sécheresse et au froid. Il supporte des températures avoisinant les -12°C/+ et un sol de préférence drainé. Si vous souhaitez limiter l'étalement du pourpier, taillez-le au début du printemps. ;1 an;1300;Résiste bien à la sécheresse !;En pot de 2-3 litres;Rose;;1;10 à 15 cm;Une floraison abondante;;;;MAA-delosperma.jpg;MAA-delosperma_cooperi.JPG;;;;;;;03-04;06-07-08-09-10;;;;1;13;1-8-9-10;00-Depart Fournisseur
904;;Dasylirion glaucophyllum;;Dasylirion glaucophyllum C25l;Le Dasylirion est un arbuste proche du Yucca par ses feuilles. Son tronc court et robuste porte les feuilles. Son feuillage est long, fin et piquant, les feuilles possèdent des aiguilles sur le bord. Elles se terminent par une touffe bleue d'aspect fibreuse. Il peut atteindre 2 m de haut et s'étaler sur 3 m. Lors de la plantation, privilégiez un sol drainant et un lieu à l'abri du vent. Il supporte des températures proches de -12°C mais durant l'hiver, il peut être recouvert avec un voile d'hivernage. Si il est planté en pot, il peut être rentré dans une véranda ou une pièce froide éclairée. ;1 an;420;Pour égayer votre terrasse;En pot de 25 litres;Vert;;1;2 m;;;;;MAA-dasylirion_glaucophyllum.JPG;MAA-dasylirion_1.JPG;;;;;;;03-04;;;;;1;13;7-10;00-Depart Fournisseur
6524;;Fougère arborescente;;Dicksonia Antartica C6l;C  est une fougère arborescente. Son tronc  est un rhizome pouvant s'élever à 15 m de haut.  Sa croissance  est de 2 à 4 cm par an. Une couronne s élève au-dessus du tronc, elle est verte brillante et peut faire 2m de long. Elle dispose d'un certificat remis par le département de Victoria en Australie. Elle résiste jusqu à - 10°C, protégez la avec un voile d'hivernage. Les frondes disparaissent l hiver. Plantez la à l'abri du vent. Vous devez garder le stipe humide pour qu'elle se développe. Arrosez fréquemment  par le haut afin que l eau ruissele le long du tronc qui doit rester humide. ;1 an;1341;Très décorative !;En pot de 6 litres  Stipe 10/+;Vert;;1;15 m;Jardin exotique et luxuriant ;;;;MAA-dicksonia_antartica.jpg;MAA-;;;;;;;03-04;;;;;1;14;7-10;00-Depart Fournisseur
8822;;Fougère arborescente;;Dicksonia Antartica C13l;C  est une fougère arborescente. Son tronc  est un rhizome pouvant s'élever à 15 m de haut.  Sa croissance  est de 2 à 4 cm par an. Une couronne s élève au-dessus du tronc, elle est verte brillante et peut faire 2m de long. Elle dispose d'un certificat remis par le département de Victoria en Australie. Elle résiste jusqu à - 10°C, protégez la avec un voile d'hivernage. Les frondes disparaissent l hiver. Plantez la à l'abri du vent. Vous devez garder le stipe humide pour qu'elle se développe. Arrosez fréquemment  par le haut afin que l eau ruissele le long du tronc qui doit rester humide. ;1 an;1341;Très décorative !;En pot de 13 litres  Stipe 20/30;Vert;;1;15 m;Jardin exotique et luxuriant ;;;;MAA-dicksonia_antartica.jpg;MAA-dicksonia_20_30.jpg;;;;;;;03-04;;;;;1;14;7-10;00-Depart Fournisseur
5210;;Agave americana  Mediopicta ;;Agave americana  Mediopicta  C3l;L'Agave americana 'Mediopicta' moins courante est ornée au centre de la feuille par une bande de couleur blanche, crème bordée de vert. Les feuilles sont cambrées, piquantes et dures. Cette Agave peut atteindre une hauteur de 1m/+ pour une envergure identique. Elle supporte des températures proches de -10°C. A la plantation, privilégiez un sol de préférence drainant. Pour la culture de l'Agave en pot, évitez les excès d'eau qui risquent de provoquer la pourriture de la plante. ;1 an;420;Feuillage à large bande centrale jaune;En pot de 3 litres             ;Vert;;1;1 m/+;;;;;MAA-agave_americana_mediopicta.JPG;MAA-;;;;;;;03-04;;;;;1;13;9-10;00-Depart Fournisseur
8746;;Agave potatorum;;Agave potatorum C3l;L'Agave potatorum est magnifique pour ses feuilles disposées en rosette, elle est compacte et ses feuilles vertes sont homogènes et de forme ovale. Elle peut s'élever jusqu'à 0.80 m et s'étendre sur 0.50 m. Elle supporte des températures proches de -12°C/+. A la plantation, privilégiez un sol de préférence drainant. Pour la culture de l'Agave en pot, évitez les excès d'eau qui risquent de provoquer la pourriture de la plante. ;1 an;420;Idéal en pot;En pot de 3 litres             ;Vert;;1;0.80 m;Excellente résistance au froid;;;;MAA-agave_potatorum.jpg;MAA-;;;;;;;03-04;;;;;1;13;8-9-10;00-Depart Fournisseur
8693;;Albizia julibrissin 'Ombrella';;Albizia julibrissin  Ombrella  C4l;L'Albizia julibrissin 'Ombrella', offre une floraison abondante. Les fleurs de couleur rouge se présentent sous la forme de plumet et dégagent un parfum très agréable. Son feuillage vert est délicatement divisé en plusieurs folioles.  Cet arbre peut atteindre 8 à 10 m de haut pour un diamètre de 6 à 8 m. La plantation de l'Albizia en pot peut se faire toute l'année, en situation ensoleillée. Il est employé dans les massifs ou en isolé. Il supporte des températures avoisinant les -10°C. Pour augmenter le volume de votre Albizia, les premières années, vous pouvez tailler les rameaux de l'année. ;1 an;240;Variété résistante au froid !;En pot de 4 litres    Scion ;Rouge;;1;8 à 10m;;;;;MAA-albizia_julibrissin_ombrella.JPG;MAA-;;;;;;;00;06-07-08-09-10;;;;1;13;7-8;00-Depart Fournisseur
6569;;Albizia julibrissin 'Summer chocolate';;Albizia julibrissin  Summer choco  C4l;L'Albizia julibrissin 'Summer chocolate' dont la silhouette est large et étalée est étonnante pour son petit feuillage aux couleurs du chocolat. La floraison abondante de couleur rose est remarquable, elle dégage un léger parfum et ressemble à des plumets. Il peut atteindre 6 à 8 m de haut sur 4 m de large. Il supporte des températures avoisinant les -20°C. Après l'hiver, une taille de mise en forme est réalisable. ;1 an;240;Magnifique feuillage pourpre chocolat;En pot de 4 litres    Scion 40/+ cm;Rose;;1;6 à 8 m;;;;;MAA-albizia_summer_chocolate.JPG;MAA-;;;;;;;00;06-07-08-09-10;;;;1;13;7-8;00-Depart Fournisseur
4853;;Aralia sieboldii;;Aralia sieboldii C4l;Cet arbuste reconnaissable à son feuillage vert est grand, luisant, palmé, découpé et épais. Il est admirable pour ses feuilles. Il peut s'élever jusqu'à 2 m et faire 3 m de diamètre. Les fleurs blanches de l'Aralia sont réunies pour former une ombelle. Il fleurit de Septembre à Octobre et donne des petits fruits ronds de couleur noire. Il résiste à des températures avoisinant les -10°C/+.  ;1 an;420;Une plante au look exotique ! ;En pot de 4 litres;Blanc;;1;2 m;;;;;MAA-aralia_sieboldii.JPG;MAA-;;;;;;;03-04;09-10;;;;1;13-14;7-8;00-Depart Fournisseur
8823;;Fougère arborescente;;Dicksonia Antartica C13l;C  est une fougère arborescente. Son tronc  est un rhizome pouvant s'élever à 15 m de haut.  Sa croissance  est de 2 à 4 cm par an. Une couronne s élève au-dessus du tronc, elle est verte brillante et peut faire 2m de long. Elle dispose d'un certificat remis par le département de Victoria en Australie. Elle résiste jusqu à - 10°C, protégez la avec un voile d'hivernage. Les frondes disparaissent l hiver. Plantez la à l'abri du vent. Vous devez garder le stipe humide pour qu'elle se développe. Arrosez fréquemment  par le haut afin que l eau ruissele le long du tronc qui doit rester humide. ;1 an;1341;Très décorative !;En pot de 13 litres  Stipe 50/60;Vert;;1;15 m;Jardin exotique et luxuriant ;;;;MAA-dicksonia_antartica.jpg;MAA-dicksonia_50_60.jpg;;;;;;;03-04;;;;;1;14;7-10;00-Depart Fournisseur
9006;;Fougère arborescente;;Dicksonia Antartica C20l;C  est une fougère arborescente. Son tronc  est un rhizome pouvant s'élever à 15 m de haut.  Sa croissance  est de 2 à 4 cm par an. Une couronne s élève au-dessus du tronc, elle est verte brillante et peut faire 2m de long. Elle dispose d'un certificat remis par le département de Victoria en Australie. Elle résiste jusqu à - 10°C, protégez la avec un voile d'hivernage. Les frondes disparaissent l hiver. Plantez la à l'abri du vent. Vous devez garder le stipe humide pour qu'elle se développe. Arrosez fréquemment  par le haut afin que l eau ruissele le long du tronc qui doit rester humide. ;1 an;1341;Très décorative !;En pot de 20 litres  Stipe 80/90;Vert;;1;15 m;Jardin exotique et luxuriant ;;;;MAA-dicksonia_antartica.jpg;MAA-dicksonia_80_90.jpg;;;;;;;03-04;;;;;1;14;7-10;00-Depart Fournisseur
8824;;Fougère arborescente;;Dicksonia Antartica C25l;C  est une fougère arborescente. Son tronc  est un rhizome pouvant s'élever à 15 m de haut.  Sa croissance  est de 2 à 4 cm par an. Une couronne s élève au-dessus du tronc, elle est verte brillante et peut faire 2m de long. Elle dispose d'un certificat remis par le département de Victoria en Australie. Elle résiste jusqu à - 10°C, protégez la avec un voile d'hivernage. Les frondes disparaissent l hiver. Plantez la à l'abri du vent. Vous devez garder le stipe humide pour qu'elle se développe. Arrosez fréquemment  par le haut afin que l eau ruissele le long du tronc qui doit rester humide. ;1 an;1341;Très décorative !;En pot de 25 litres  Stipe 100/120;Vert;;1;15 m;Jardin exotique et luxuriant ;;;;MAA-dicksonia_antartica.jpg;MAA-dicksonia_stipe_100_120.jpg;;;;;;;03-04;;;;;1;14;7-10;00-Depart Fournisseur
632;;Cordyline;;Dracaena indivisa C7-10l;La Cordyline d'Australie ressemble beaucoup au Palmier par sa silhouette dressée. Les feuilles en haut du tronc sont vertes, brillantes et longues. Les fleurs blanches sont regroupées en grappes, elles sont vraiment intéressantes pour le parfum qu'elles dégagent. Le Dracaena peut atteindre 3 à 4 m de haut et faire 1.50 à 2 m de large. Il résiste à des températures proches de -10°C/+. Dans les régions les plus froides, protégez votre cordyline pendant l'hiver avec un voile d'hivernage. Lors de la plantation, privilégiez un lieu à l abri des vents du Nord. ;1 an;420;Jolie touche exotique;En pot de 7-10 litres   H. 80/100 cm;Blanc;;1;3 à 4 m;;;;;MAA-cordyline_indivisa.jpg;MAA-;;;;;;;03-04;06-07;;;;1;13;7-8-10;00-Depart Fournisseur
3594;;Aralia sieboldii;;Aralia sieboldii C7-10l;Cet arbuste reconnaissable à son feuillage vert est grand, luisant, palmé, découpé et épais. Il est admirable pour ses feuilles. Il peut s'élever jusqu'à 2 m et faire 3 m de diamètre. Les fleurs blanches de l'Aralia sont réunies pour former une ombelle. Il fleurit de Septembre à Octobre et donne des petits fruits ronds de couleur noire. Il résiste à des températures avoisinant les -10°C/+.  ;1 an;420;Une plante au look exotique ! ;En pot de 7-10 litres;Blanc;;1;2 m;;;;;MAA-aralia_sieboldii.JPG;MAA-;;;;;;;03-04;09-10;;;;1;13-14;7-8;00-Depart Fournisseur
8690;;Cordyline;;Dracaena indivisa C10-14l;La Cordyline d'Australie ressemble beaucoup au Palmier par sa silhouette dressée. Les feuilles en haut du tronc sont vertes, brillantes et longues. Les fleurs blanches sont regroupées en grappes, elles sont vraiment intéressantes pour le parfum qu'elles dégagent. Le Dracaena peut atteindre 3 à 4 m de haut et faire 1.50 à 2 m de large. Il résiste à des températures proches de -10°C/+. Dans les régions les plus froides, protégez votre cordyline pendant l'hiver avec un voile d'hivernage. Lors de la plantation, privilégiez un lieu à l abri des vents du Nord. ;1 an;420;Jolie touche exotique;En pot de 10-14 litres  H.100/125 cm;Blanc;;1;3 à 4 m;;;;;MAA-cordyline_indivisa.jpg;MAA-cordyline_indivisa_100-125.jpg;;;;;;;03-04;06-07;;;;1;13;7-8-10;00-Depart Fournisseur
631;;Cordyline;;Dracaena indivisa C4l;La Cordyline d'Australie ressemble beaucoup au Palmier par sa silhouette dressée. Les feuilles en haut du tronc sont vertes, brillantes et longues. Les fleurs blanches sont regroupées en grappes, elles sont vraiment intéressantes pour le parfum qu'elles dégagent. Le Dracaena peut atteindre 3 à 4 m de haut et faire 1.50 à 2 m de large. Il résiste à des températures proches de -10°C/+. Dans les régions les plus froides, protégez votre cordyline pendant l'hiver avec un voile d'hivernage. Lors de la plantation, privilégiez un lieu à l abri des vents du Nord. ;1 an;420;Jolie touche exotique;En pot de 4 litres   H. 60/80 cm;Blanc;;1;3 à 4 m;;;;;MAA-cordyline_indivisa.jpg;MAA-;;;;;;;03-04;06-07;;;;1;13;7-8-10;00-Depart Fournisseur
8290;;Néflier du japon;;Eriobotrya japonica C18l;L'Eriobotrya est intéressant dans les jardins pour son côté décoratif toute l'année. Ses grandes feuilles sont vertes et brillantes. Les fleurs blanches sont regroupées en grappes et libèrent un parfum agréable. Vienne ensuite des fruits comestibles avec une peau de couleur jaune, ils sont acidulés. Cet arbre de petit développement peut atteindre 3 m/+ de haut pour une envergure de 4 m/+. Il est idéal pour les petits et grands jardins. Il résiste jusqu à -14°C/+. Evitez de le planter dans les régions trop froides et dans un sol humide. Réalisez une taille de formation après la fructification. ;1 an;240;Très résistant -14°C;En pot de 18 litres  1/2 T 8/10;Blanc;;1;4 m/+;Décoratif toute l année;Floraison parfumée.;Les fruits sont comestibles;;MAA-eriobotrya_japonica.jpg;MAA-eriobotrya_japonica_1.JPG;;;;;;;00;11-12-01;;;;1;13-14;7-10;00-Depart Fournisseur
50;;Goyavier du Bresil;;Acca sellowiana C3-4l;Le Goyavier est apprécié pour sa floraison et ses fruits. Le feuillage ovale est gris  vert avec un duvet au revers.  Les fleurs font 3 à 4 cm de diamètre, les pétales sont rouges au revers blanc rosé, les étamines rouges. Il donne des fruits connus sous le nom de feijoa, la peau est verte et à maturité jaune. Ces fruits sont comestibles et ont un goût  proche des goyaves et de l ananas. Dans les régions au climat doux, les fruits arriveront à murir et se récolteront au mois de novembre. Il peut atteindre 4 m/+ pour un diamètre de 3 m +/-. Il résiste jusqu à -10°C. Taillez le en mars avril. ;1 an;420;Joli feuillage gris vert duveteux;En pot de 3-4 litres. Touffe;Multicolore;;1;4 m/+;Splendide floraison;Les fruits sont comestibles;;;MAA-feijoa.JPG;MAA-_acca_sellowiana.jpg;;;;;;;03-04;06-07;;;;1;13-14;6-7-8-10;00-Depart Fournisseur
3543;;Arbousier unedo;;Arbustus unedo C7l;L'Arbutus unedo est un arbuste aux feuilles ovales, dentées sur le bord du limbe, coriaces, brillantes de couleur verte. Son écorce de couleur marron à rouge se détache en plaque. Il peut atteindre 4 m de haut et de large. La floraison qui a lieu de Novembre à Janvier offre des fleurs blanches qui ressemblent à des clochettes. Ses fruits comestibles sont nombreux sous un climat doux. Ils ressemblent à des fraises dont la peau est rugueuse. Il supporte des températures proches de -15°C/+. Au printemps, une taille de mise en forme est réalisable sur votre plante.;1 an;440;Belle floraison et jolis fruits;En pot de 7 litres    H. 60/80 cm ;Blanc;;1;4 m;;;;;MAA-arbutus_unedo.jpg;MAA-arbutus_unedo_1.jpg;MAA-arbutus_unedo_2.jpg;;;;;;00;11-12-01;;;;1;13;6-8;00-Depart Fournisseur
6570;;Aralia sieboldii;;Aralia sieboldii C15-20l;Cet arbuste reconnaissable à son feuillage vert est grand, luisant, palmé, découpé et épais. Il est admirable pour ses feuilles. Il peut s'élever jusqu'à 2 m et faire 3 m de diamètre. Les fleurs blanches de l'Aralia sont réunies pour former une ombelle. Il fleurit de Septembre à Octobre et donne des petits fruits ronds de couleur noire. Il résiste à des températures avoisinant les -10°C/+.  ;1 an;420;Grand feuillage luissant, palmé;En pot de 15-20 litres;Blanc;;1;2 m;;;;;MAA-aralia_sieboldii.JPG;MAA-;;;;;;;03-04;09-10;;;;1;13-14;7-8;00-Depart Fournisseur
7026;;Arbousier unedo;;Arbustus unedo C10l;L'Arbutus unedo est un arbuste aux feuilles ovales, dentées sur le bord du limbe, coriaces, brillantes de couleur verte. Son écorce de couleur marron à rouge se détache en plaque. Il peut atteindre 4 m de haut et de large. La floraison qui a lieu de Novembre à Janvier offre des fleurs blanches qui ressemblent à des clochettes. Ses fruits comestibles sont nombreux sous un climat doux. Ils ressemblent à des fraises dont la peau est rugueuse. Il supporte des températures proches de -15°C/+. Au printemps, une taille de mise en forme est réalisable sur votre plante.;1 an;440;Belle floraison et jolis fruits;En pot de 10 litres  H. 80/100 cm ;Blanc;;1;4 m;;;;;MAA-arbutus_unedo.jpg;MAA-arbutus_unedo_1.jpg;MAA-arbutus_unedo_2.jpg;;;;;;00;11-12-01;;;;1;13;6-8;00-Depart Fournisseur
556;;Arbousier unedo;;Arbustus unedo C3l;L'Arbutus unedo est un arbuste aux feuilles ovales, dentées sur le bord du limbe, coriaces, brillantes de couleur verte. Son écorce de couleur marron à rouge se détache en plaque. Il peut atteindre 4 m de haut et de large. La floraison qui a lieu de Novembre à Janvier offre des fleurs blanches qui ressemblent à des clochettes. Ses fruits comestibles sont nombreux sous un climat doux. Ils ressemblent à des fraises dont la peau est rugueuse. Il supporte des températures proches de -15°C/+. Au printemps, une taille de mise en forme est réalisable sur votre plante.;1 an;440;Une plante au look exotique ! ;En pot de 3 litres   H. 40/60 cm ;Blanc;;1;4 m;;;;;MAA-arbutus_unedo.jpg;MAA-arbutus_unedo_1.jpg;MAA-arbutus_unedo_2.jpg;MAA-arbutus_unedo_C3l.jpg;;;;;00;11-12-01;;;;1;13;6-8;00-Depart Fournisseur
656;;Fuchsia ricartoni;;Fuschia ricartoni C2-3l;Le Fuchsia ricartoni est apprécié pour ses feuilles souples et ses fleurs remarquables. Les fleurs du fuschia sont fines, pendantes et de couleur rose, rouge et violet. Ses feuilles fines, longues sont vertes aux nervures rouges. il peut atteindre 2 m de large et de haut. Le fuschia ricartoni est un classique surtout dans les zones au climat océanique. Il supporte des températures proches de -16°C.  ;1 an;440;Il résiste au gel !;En pot de 2-3 litres.;Multicolore;;1;2 m;Les fleurs sont remarquables.;;;;MAA-fuschia_ricartoni.JPG;MAA-;;;;;;;03-04;08-09;;;;1;14-15;6-7-8;00-Depart Fournisseur
5339;;Goyavier du Bresil;;Acca sellowiana C7-10l;Le Goyavier est apprécié pour sa floraison et ses fruits. Le feuillage ovale est gris  vert avec un duvet au revers.  Les fleurs font 3 à 4 cm de diamètre, les pétales sont rouges au revers blanc rosé, les étamines rouges. Il donne des fruits connus sous le nom de feijoa, la peau est verte et à maturité jaune. Ces fruits sont comestibles et ont un goût  proche des goyaves et de l ananas. Dans les régions au climat doux, les fruits arriveront à murir et se récolteront au mois de novembre. Il peut atteindre 4 m/+ pour un diamètre de 3 m +/-. Il résiste jusqu à -10°C. Taillez le en mars avril. ;1 an;420;Joli feuillage gris vert duveteux;En pot de 7-10 litres. Touffe;Multicolore;;1;4 m/+;Splendide floraison;Les fruits sont comestibles;;;MAA-feijoa.JPG;MAA-_acca_sellowiana.jpg;;;;;;;03-04;06-07;;;;1;13-14;6-7-8-10;00-Depart Fournisseur
1297;;Gaura lindheimeri;;Gaura lindheimeri C3l;Cette vivace à la floraison excellente produit des fleurs blanches avec le calice rouge. Ses tiges de couleur verte sont légèrement ramifiées donnant de la légèreté. Ses feuilles longues et fines sont de couleur verte et possèdent des nuances de rouge au travers. Si vous souhaitez un jardin dont le thème est sauvage, le Gaura est la plante idéale. Il s'élève jusqu'à 1 m et fait 0.50m de large. Il résiste à des températures allant jusqu'à -15°C. Taillez les tiges après la floraison et la touffe au début du printemps. ;1 an;1300;Floraison belle et durable;En pot de 3 litres;Blanc;;1;1 m;Longue floraison;Très florifère;;;MAA-gaura_blanche.jpg;MAA-gaura_blanche_1.jpg;;;;;;;03-04;05-06-07-08-09-10;;;;1;13-14;1-8-10;00-Depart Fournisseur
1290;;Gaura lindheimeri;;Gaura lindheimeri C3l;Cette vivace produit des fleurs roses en abondance. Ses tiges de couleur verte sont légèrement ramifiées. Ses feuilles longues et fines sont de couleur verte avec des nuances de rouge. Le Gaura rose a une silhouette plus compacte.  Si vous souhaitez un jardin dont le thème est sauvage, le Gaura est la plante idéale. Il s'élève jusqu'à 1 m et fait 0.50m de large. Il résiste à des températures allant jusqu'à -15°C. Taillez les tiges après la floraison et la touffe au début du printemps. ;1 an;1300;Floraison belle et durable;En pot de 3 litres;Rose;;1;1 m;Longue floraison;Très florifère;;;MAA-gaura_rose.jpg;MAA-;;;;;;;03-04;05-06-07-08-09;;;;1;13-14;1-8;00-Depart Fournisseur
5871;;Bamb Hibanobambousa tranquillans Shiro;;Hibanobambousa 'Shiroshima' C10l;Ce bambou apprécié pour son feuillage panaché de couleur vert et blanc possède de nombreuses feuilles compactes et larges. L Hibanobanbusa tranquillans 'Shiroshima' a fait preuve d'une grande résistance au froid. Il peut atteindre 2 à 3 m de haut. Il supporte des températures avoisinant les -20°C. Lors de la plantation, vous pouvez mettre une barrière anti-rhizomes pour ralentir la croissance du bambou qui peut devenir envahissant. ;1 an;1360;Très apprécié pour son feuillage;En pot de 10 litres   H. 100/150 cm ;Vert;;1;2 à 3 m;Résiste au froid;;;;MAA-hibanobanbousa_tranquillans_shiroshima.JPG;MAA-;;;;;;;00;;;;;1;13-14-15;6-7-8-10;00-Depart Fournisseur
5883;;Bambou Fargesia 'Rufa';;Fargesia 'Rufa' C10l;Ce bambou non traçant à la silhouette pleureuse et légère forme un élégant buisson. Il s'agit d'une variété récente qui n'est pas envahissante. Son feuillage fin, jaune vert est léger et rehaussé de gaine de couleur rouge. Il peut atteindre 2 m/+ de haut et 2 m/+ d'envergure. La croissance de ce type de Bambou est plutôt lente. Les bambous sont magnifiques et décorent bien votre jardin en particulier près d'un bassin d'eau. Il supporte des températures avoisinant les -20°C. Pour la culture du bambou en pot, vous pouvez mettre un paillage à la surface et bien arroser en saison sèche. ;1 an;1360;Très élégant à croissance modérée;En pot de 10 litres   H. 80/100 cm ;Vert;;1;2 m/+;Une silhouette élégante;;;;MAA-fargesia_rufa.JPG;MAA-;;;;;;;00;;;;;1;15;6-7-8-10;00-Depart Fournisseur
2903;;Bamb Phyllostachys aureosulcata Specta;;Phyllostachys aure 'Spectabilis' C10l;Ce bambou à la croissance en forme de buisson a une silhouette légèrement pleureuse. Les chaumes se développent en zig-zag, elles sont de couleur rouge puis  jaunes rehaussées de rayure vert clair. L'hiver, son feuillage se déshydrate, mais les feuilles reviennent au printemps. Ce bambou peut atteindre 5 m/+ de haut. Il supporte des températures avoisinant les -20°C. Vous pouvez le planter de préférence à l'abri du vent et évitez les excès d'eau afin que sa croissance soit moins vigoureuse et placez une barrière anti-rhizomes pour ralentir sa croissance qui peut devenir envahissante. ;1 an;1360;Merveilleux bambou ornemental;En pot de 10 litres   H. 125/150 cm ;Vert;;1;5 m/+;;;;;MAA-phyllostachys_aureosulcata_spectabilis.jpg;MAA-;;;;;;;00;;;;;1;13-14;6-7-8-10;00-Depart Fournisseur
4857;;Canne de provence donax  Variegata ;;Arundo donax  Variegata  C4l;Le feuillage de l'Arundo  est panaché, il est vert avec des bandes blanches. Les feuilles retombent et sont effilochées. Elles ressemblent à des cannes d'où son nom de canne de Provence. Il peut faire jusqu'à  2 m de haut sur une largeur de 1 m/+. En Mars, coupez à la base pour obtenir un feuillage magnifique par la suite. ;1 an;420;Feuillage panaché et retombant;En pot de 4 litres;Vert;;1;2 m;;;;;MAA-arundo_donax_variegata.jpg;MAA-arundo_donax_variegata_C4l.jpg;;;;;;;00;;;;;1;13;7-8;00-Depart Fournisseur
5906;;Canne de provence donax  Variegata ;;Arundo donax  Variegata  C10l;Le feuillage de l'Arundo  est panaché, il est vert avec des bandes blanches. Les feuilles retombent et sont effilochées. Elles ressemblent à des cannes d'où son nom de canne de Provence. Il peut faire jusqu'à  2 m de haut sur une largeur de 1 m/+. En Mars, coupez à la base pour obtenir un feuillage magnifique par la suite. ;1 an;420;Feuillage panaché et retombant;En pot de 10 litres;Vert;;1;2 m;;;;;MAA-arundo_donax_variegata.jpg;MAA-;;;;;;;00;;;;;1;13;7-8;00-Depart Fournisseur
3065;;Gunnera manicata;;Gunnera manicata C7-10l;Le Gunnera manicata est impressionnant avec la taille de ses feuilles atteignant jusqu'à 2 m de diamètre. Le pétiole est recouvert d'épine, il peut faire 2 m de long. Les fleurs de couleur rouge et verte sont érigées sur un épi de 1 m de long. Il donne des fruits orange à brun de forme arrondie. Il atteint 3 à 4 m de haut sur une envergure de 4 m. Il résiste jusqu à -10 °C et doit être planté dans un milieu frais à humide et abrité du vent. Vous pouvez le planter au bord d un bassin. Protégez-le l hiver en coupant le feuillage et s en servir comme protection sur le coeur de la plante. ;1 an;1462;Spectaculaire au bord d  un bassin;En pot de 7-10 litres;Vert;;1;3 à 4 m;Des feuilles impressionnantes;;;;MAA-gunnera_manicata.jpg;MAA-gunnera_manicata.jpg;;;;;;;03-04;;;;;1;14-15;7-8;00-Depart Fournisseur
5111;;Helichrysum italicum  Serotinum ;;Helichrysum italicum  Serotinum  C2l;L'helichrysum est intéressant pour son feuillage aromatique recouvert de fleurs de couleur jaune. Ses feuilles dont l'odeur rappelle celle du Curry sont fines de couleur grise argentée. Les fleurs sont utilisées pour confectionner des huiles essentielles. Cette plante de petit développement est idéale dans les petits jardins, elle atteint 40 cm de haut sur une largeur de 60 cm. Il supporte des températures allant jusqu'à -10°C. Après l'hiver, taillez les rameaux défleuris de votre Helichrysum comme la lavande puis au printemps coupez de façon plus courte. ;1 an;420;Vivace sans arrosage;En pot de 2 litres;Jaune;;1;40 cm;Un feuillage aromatique;;;;MAA-helichrysum_italicum_serotinum.JPG;MAA-;;;;;;;03-04;06-07;;;;1;13-14;8-10;00-Depart Fournisseur
5120;;Gaura lindheimeri  Rosyjane ;;Gaura lindheimeri  Rosyjane  C3l;Le Gaura 'Rosyjane' produit des fleurs blanches bordées de rose. Ses tiges de couleur verte sont légèrement ramifiées. Ses feuilles longues et fines sont de couleur vert foncé avec des nuances de rouge. Si vous souhaitez un jardin dont le thème est sauvage, le Gaura est la plante idéale. Il s'élève jusqu'à 0.70 m et fait 0.50 m de large. Il résiste à des températures allant jusqu'à -12°C/+. Taillez les tiges après la floraison et la touffe au début du printemps. ;1 an;1300;Floraison blanches bordées de rose ;En pot de 3 litres;Multicolore;;1;0.70 m;Très florifère;;;;MAA-gaura_lindhermeri_rosyjane.JPG;MAA-;;;;;;;03-04;06-07-08-09-10;;;;1;13-14;1-8;00-Depart Fournisseur
8146-E4/5L;;Hortensia macrophylla 'Elbtal';;Hydrangea macrophylla 'Elbtal' C4-5l;L'hydrangea est un des arbustes les plus magnifiques en été avec ses fleurs de couleur bleue formant une boule de 20 cm. Son feuillage caduc est ovale, dentelé, une feuille fait entre 10 et 30 cm de long et est de couleur verte. Cet arbuste à la silhouette arrondie atteint 1 à 2 m de haut et de large. Les Hydrangea sont les arbustes idéals pour apporter de la couleur dans les coins du jardin ombragé. Il supporte des températures proches de -15°C/+ et un sol frais de préférence à la plantation. Coupez les fleurs fanées en Avril et taillez l'hortensia au printemps. ;1 an;280;Jolies fleurs en forme de boule;En pot de 4 - 5 litres;Bleu;;1;1 à 2 m;Belle couleur dans le jardin;Une floraison splendide;;;MAA-hydrangea_macrophylla_C3l.jpg;MAA-;;;;;;;00;07-08-09-10;;;;1;14-15;6-7-8;00-Depart Fournisseur
